promotion_id,product_id,promotional_unit_price,funding_allocation
PRM001,SKU0017,40.88,226.53
PRM001,SKU0062,22.46,31.75
PRM001,SKU0010,13.96,97.14
PRM001,SKU0030,34.56,273.11
PRM002,SKU0018,14.45,150.51
PRM002,SKU0049,38.87,163.08
PRM002,SKU0083,30.35,43.85
PRM002,SKU0087,18.86,93.84
PRM002,SKU0019,9.32,56.93
PRM003,SKU0096,26.76,28.36
PRM003,SKU0020,27.57,32.87
PRM003,SKU0053,36.18,246.15
PRM003,SKU0079,16.50,192.87
PRM003,SKU0088,12.56,125.63
PRM003,SKU0057,19.76,315.10
PRM004,SKU0041,46.12,46.73
PRM004,SKU0018,16.46,306.95
PRM004,SKU0032,7.24,332.80
PRM005,SKU0078,27.70,334.27
PRM005,SKU0037,34.90,153.14
PRM005,SKU0089,12.65,262.86
PRM005,SKU0004,21.20,258.68
PRM006,SKU0096,28.76,350.20
PRM006,SKU0051,30.90,105.59
PRM006,SKU0038,8.01,170.24
PRM006,SKU0083,30.35,106.36
PRM006,SKU0007,17.82,281.51
PRM007,SKU0010,12.15,208.06
PRM007,SKU0068,7.52,104.37
PRM007,SKU0002,10.14,135.49
PRM007,SKU0047,10.38,42.84
PRM007,SKU0041,37.68,116.81
PRM007,SKU0017,35.57,244.85
PRM008,SKU0010,14.87,527.85
PRM008,SKU0003,36.20,80.18
PRM008,SKU0076,44.81,121.74
PRM009,SKU0051,33.05,374.13
PRM009,SKU0065,23.37,206.58
PRM009,SKU0037,34.90,196.20
PRM009,SKU0081,7.18,312.40
PRM010,SKU0069,15.47,193.06
PRM010,SKU0079,17.73,76.72
PRM010,SKU0020,29.63,305.11
PRM010,SKU0036,22.92,202.53
PRM010,SKU0011,6.52,147.53
PRM011,SKU0082,32.41,323.60
PRM011,SKU0084,5.39,375.25
PRM011,SKU0088,12.56,25.67
PRM011,SKU0083,28.24,38.22
PRM011,SKU0009,23.72,192.61
PRM011,SKU0040,37.75,200.99
PRM012,SKU0078,29.50,915.16
PRM012,SKU0008,29.05,244.27
PRM012,SKU0040,46.20,17.61
PRM013,SKU0018,15.45,201.22
PRM013,SKU0090,25.36,300.18
PRM013,SKU0002,11.65,477.36
PRM013,SKU0021,22.85,150.45
PRM014,SKU0048,30.02,540.23
PRM014,SKU0017,38.22,20.56
PRM014,SKU0096,28.76,565.22
PRM014,SKU0035,27.14,190.47
PRM014,SKU0094,39.45,44.73
PRM015,SKU0092,29.06,23.09
PRM015,SKU0074,36.55,357.86
PRM015,SKU0081,6.24,69.49
PRM015,SKU0010,12.15,65.51
PRM015,SKU0064,22.76,322.04
PRM015,SKU0059,13.51,372.40
PRM016,SKU0087,21.48,397.56
PRM016,SKU0093,20.70,34.41
PRM016,SKU0015,29.07,674.23
PRM017,SKU0032,6.80,73.52
PRM017,SKU0006,26.82,456.12
PRM017,SKU0061,10.70,420.03
PRM017,SKU0047,11.94,270.82
PRM018,SKU0092,31.23,274.79
PRM018,SKU0095,13.49,475.50
PRM018,SKU0084,5.79,179.07
PRM018,SKU0054,26.57,51.42
PRM018,SKU0029,24.63,246.12
PRM019,SKU0065,20.33,516.74
PRM019,SKU0087,17.55,37.33
PRM019,SKU0007,16.58,251.90
PRM019,SKU0023,10.16,152.90
PRM019,SKU0029,22.92,457.58
PRM019,SKU0067,10.43,177.26
PRM020,SKU0071,9.04,212.71
PRM020,SKU0059,16.54,572.26
PRM020,SKU0002,12.41,539.49
PRM021,SKU0032,6.80,543.54
PRM021,SKU0060,6.67,422.66
PRM021,SKU0048,32.11,399.00
PRM021,SKU0076,42.08,297.73
PRM022,SKU0032,6.36,152.84
PRM022,SKU0020,29.63,370.42
PRM022,SKU0001,21.10,387.02
PRM022,SKU0053,38.88,419.58
PRM022,SKU0004,19.82,0.64
PRM023,SKU0085,20.23,354.03
PRM023,SKU0049,36.17,151.18
PRM023,SKU0095,12.56,346.13
PRM023,SKU0094,36.71,350.23
PRM023,SKU0040,37.75,51.27
PRM023,SKU0014,6.14,100.76
PRM024,SKU0006,28.56,636.78
PRM024,SKU0030,36.80,325.98
PRM024,SKU0067,12.76,531.77
PRM025,SKU0075,22.71,378.83
PRM025,SKU0013,29.38,568.59
PRM025,SKU0065,23.37,59.83
PRM025,SKU0018,15.45,636.36
PRM026,SKU0017,38.22,320.52
PRM026,SKU0031,32.01,678.55
PRM026,SKU0038,8.01,266.11
PRM026,SKU0034,22.82,369.30
PRM026,SKU0041,40.49,190.54
PRM027,SKU0026,28.47,205.72
PRM027,SKU0018,13.45,79.10
PRM027,SKU0075,19.76,234.72
PRM027,SKU0014,6.14,504.65
PRM027,SKU0020,27.57,296.05
PRM027,SKU0022,8.78,303.54
PRM028,SKU0016,33.50,347.16
PRM028,SKU0012,31.62,804.18
PRM028,SKU0021,24.34,688.46
PRM029,SKU0028,8.59,1034.08
PRM029,SKU0042,34.19,423.12
PRM029,SKU0019,9.97,52.27
PRM029,SKU0012,29.69,319.11
PRM030,SKU0023,10.92,282.29
PRM030,SKU0004,19.82,522.03
PRM030,SKU0052,31.82,908.27
PRM030,SKU0058,5.33,157.94
PRM030,SKU0072,43.88,13.51
PRM031,SKU0029,22.92,503.39
PRM031,SKU0017,35.57,454.69
PRM031,SKU0026,28.47,202.09
PRM031,SKU0052,29.61,634.61
PRM031,SKU0048,27.94,17.02
PRM031,SKU0088,12.56,50.35
PRM032,SKU0083,34.56,776.44
PRM032,SKU0057,24.19,741.26
PRM032,SKU0017,43.53,112.29
PRM033,SKU0060,6.67,655.78
PRM033,SKU0007,19.06,449.11
PRM033,SKU0022,10.09,346.46
PRM033,SKU0074,42.00,386.23
PRM034,SKU0046,41.29,45.28
PRM034,SKU0028,8.03,809.16
PRM034,SKU0024,10.05,321.20
PRM034,SKU0036,22.92,385.66
PRM034,SKU0058,5.33,538.41
PRM035,SKU0071,7.38,91.66
PRM035,SKU0062,19.54,406.54
PRM035,SKU0008,23.74,241.64
PRM035,SKU0012,25.84,289.86
PRM035,SKU0036,21.33,368.64
PRM035,SKU0050,23.66,365.28
PRM036,SKU0049,44.27,911.15
PRM036,SKU0092,35.57,401.14
PRM036,SKU0046,47.03,659.55
PRM037,SKU0042,34.19,619.36
PRM037,SKU0050,27.19,30.39
PRM037,SKU0035,29.03,840.88
PRM037,SKU0024,10.75,291.40
PRM038,SKU0061,10.01,83.28
PRM038,SKU0068,8.08,546.30
PRM038,SKU0046,41.29,221.66
PRM038,SKU0075,21.23,678.88
PRM038,SKU0030,32.31,762.87
PRM039,SKU0008,23.74,306.01
PRM039,SKU0029,22.92,416.37
PRM039,SKU0074,36.55,360.29
PRM039,SKU0050,23.66,472.02
PRM039,SKU0046,38.42,14.57
PRM039,SKU0023,10.16,361.79
PRM040,SKU0073,11.32,801.83
PRM040,SKU0019,10.62,960.13
PRM040,SKU0025,16.95,536.39
PRM041,SKU0023,11.68,817.63
PRM041,SKU0063,29.09,27.08
PRM041,SKU0005,12.54,649.56
PRM041,SKU0012,29.69,450.81
PRM042,SKU0079,17.73,634.68
PRM042,SKU0026,30.59,686.72
PRM042,SKU0017,38.22,47.11
PRM042,SKU0044,43.19,116.83
PRM042,SKU0092,31.23,557.39
