week_start,store_id,product_id,forecast_version,forecast_created_date,forecast_units
2025-04-07,STR001,SKU0001,LAG_4W,2025-03-10,3
2025-04-14,STR001,SKU0001,LAG_4W,2025-03-17,4
2025-04-21,STR001,SKU0001,LAG_4W,2025-03-24,4
2025-04-28,STR001,SKU0001,LAG_4W,2025-03-31,4
2025-05-05,STR001,SKU0001,LAG_4W,2025-04-07,3
2025-05-12,STR001,SKU0001,LAG_4W,2025-04-14,4
2025-05-19,STR001,SKU0001,LAG_4W,2025-04-21,3
2025-05-26,STR001,SKU0001,LAG_4W,2025-04-28,4
2025-06-02,STR001,SKU0001,LAG_4W,2025-05-05,4
2025-06-09,STR001,SKU0001,LAG_4W,2025-05-12,4
2025-06-16,STR001,SKU0001,LAG_4W,2025-05-19,4
2025-06-23,STR001,SKU0001,LAG_4W,2025-05-26,3
2025-06-30,STR001,SKU0001,LAG_4W,2025-06-02,3
2025-07-07,STR001,SKU0001,LAG_4W,2025-06-09,4
2025-07-14,STR001,SKU0001,LAG_4W,2025-06-16,4
2025-07-21,STR001,SKU0001,LAG_4W,2025-06-23,4
2025-07-28,STR001,SKU0001,LAG_4W,2025-06-30,4
2025-08-04,STR001,SKU0001,LAG_4W,2025-07-07,4
2025-08-11,STR001,SKU0001,LAG_4W,2025-07-14,3
2025-08-18,STR001,SKU0001,LAG_4W,2025-07-21,5
2025-08-25,STR001,SKU0001,LAG_4W,2025-07-28,3
2025-09-01,STR001,SKU0001,LAG_4W,2025-08-04,3
2025-09-08,STR001,SKU0001,LAG_4W,2025-08-11,4
2025-09-15,STR001,SKU0001,LAG_4W,2025-08-18,4
2025-09-22,STR001,SKU0001,LAG_4W,2025-08-25,4
2025-09-29,STR001,SKU0001,LAG_4W,2025-09-01,4
2025-10-06,STR001,SKU0001,LAG_4W,2025-09-08,3
2025-10-13,STR001,SKU0001,LAG_4W,2025-09-15,4
2025-10-20,STR001,SKU0001,LAG_4W,2025-09-22,4
2025-10-27,STR001,SKU0001,LAG_4W,2025-09-29,3
2025-11-03,STR001,SKU0001,LAG_4W,2025-10-06,4
2025-11-10,STR001,SKU0001,LAG_4W,2025-10-13,3
2025-11-17,STR001,SKU0001,LAG_4W,2025-10-20,4
2025-11-24,STR001,SKU0001,LAG_4W,2025-10-27,4
2025-12-01,STR001,SKU0001,LAG_4W,2025-11-03,5
2025-12-08,STR001,SKU0001,LAG_4W,2025-11-10,6
2025-12-15,STR001,SKU0001,LAG_4W,2025-11-17,5
2025-12-22,STR001,SKU0001,LAG_4W,2025-11-24,6
2025-12-29,STR001,SKU0001,LAG_4W,2025-12-01,6
2026-01-05,STR001,SKU0001,LAG_4W,2025-12-08,5
2026-01-12,STR001,SKU0001,LAG_4W,2025-12-15,5
2026-01-19,STR001,SKU0001,LAG_4W,2025-12-22,5
2026-01-26,STR001,SKU0001,LAG_4W,2025-12-29,6
2026-02-02,STR001,SKU0001,LAG_4W,2026-01-05,4
2026-02-09,STR001,SKU0001,LAG_4W,2026-01-12,5
2026-02-16,STR001,SKU0001,LAG_4W,2026-01-19,4
2026-02-23,STR001,SKU0001,LAG_4W,2026-01-26,5
2026-03-02,STR001,SKU0001,LAG_4W,2026-02-02,4
2026-03-09,STR001,SKU0001,LAG_4W,2026-02-09,4
2026-03-16,STR001,SKU0001,LAG_4W,2026-02-16,4
2026-03-23,STR001,SKU0001,LAG_4W,2026-02-23,4
2026-03-30,STR001,SKU0001,LAG_4W,2026-03-02,4
2026-04-06,STR001,SKU0001,LAG_4W,2026-03-09,4
2026-04-13,STR001,SKU0001,LAG_4W,2026-03-16,4
2026-04-20,STR001,SKU0001,LAG_4W,2026-03-23,5
2026-04-27,STR001,SKU0001,LAG_4W,2026-03-30,4
2026-05-04,STR001,SKU0001,LAG_4W,2026-04-06,4
2026-05-11,STR001,SKU0001,LAG_4W,2026-04-13,5
2026-05-18,STR001,SKU0001,LAG_4W,2026-04-20,4
2026-05-25,STR001,SKU0001,LAG_4W,2026-04-27,4
2026-06-01,STR001,SKU0001,LAG_4W,2026-05-04,4
2026-06-08,STR001,SKU0001,LAG_4W,2026-05-11,4
2026-06-15,STR001,SKU0001,LAG_4W,2026-05-18,4
2026-06-22,STR001,SKU0001,LAG_4W,2026-05-25,4
2026-06-29,STR001,SKU0001,LAG_4W,2026-06-01,4
2026-07-06,STR001,SKU0001,LAG_4W,2026-06-08,4
2026-07-13,STR001,SKU0001,LAG_4W,2026-06-15,5
2026-07-20,STR001,SKU0001,LAG_4W,2026-06-22,4
2026-07-27,STR001,SKU0001,LAG_4W,2026-06-29,4
2026-08-03,STR001,SKU0001,LAG_4W,2026-07-06,4
2025-02-24,STR001,SKU0003,LAG_4W,2025-01-27,7
2025-03-03,STR001,SKU0003,LAG_4W,2025-02-03,9
2025-03-10,STR001,SKU0003,LAG_4W,2025-02-10,8
2025-03-17,STR001,SKU0003,LAG_4W,2025-02-17,8
2025-03-24,STR001,SKU0003,LAG_4W,2025-02-24,9
2025-03-31,STR001,SKU0003,LAG_4W,2025-03-03,6
2025-04-07,STR001,SKU0003,LAG_4W,2025-03-10,6
2025-04-14,STR001,SKU0003,LAG_4W,2025-03-17,8
2025-04-21,STR001,SKU0003,LAG_4W,2025-03-24,9
2025-04-28,STR001,SKU0003,LAG_4W,2025-03-31,7
2025-05-05,STR001,SKU0003,LAG_4W,2025-04-07,8
2025-05-12,STR001,SKU0003,LAG_4W,2025-04-14,8
2025-05-19,STR001,SKU0003,LAG_4W,2025-04-21,8
2025-05-26,STR001,SKU0003,LAG_4W,2025-04-28,8
2025-06-02,STR001,SKU0003,LAG_4W,2025-05-05,9
2025-06-09,STR001,SKU0003,LAG_4W,2025-05-12,10
2025-06-16,STR001,SKU0003,LAG_4W,2025-05-19,11
2025-06-23,STR001,SKU0003,LAG_4W,2025-05-26,9
2025-06-30,STR001,SKU0003,LAG_4W,2025-06-02,12
2025-07-07,STR001,SKU0003,LAG_4W,2025-06-09,10
2025-07-14,STR001,SKU0003,LAG_4W,2025-06-16,12
2025-07-21,STR001,SKU0003,LAG_4W,2025-06-23,10
2025-07-28,STR001,SKU0003,LAG_4W,2025-06-30,12
2025-08-04,STR001,SKU0003,LAG_4W,2025-07-07,9
2025-08-11,STR001,SKU0003,LAG_4W,2025-07-14,8
2025-08-18,STR001,SKU0003,LAG_4W,2025-07-21,9
2025-08-25,STR001,SKU0003,LAG_4W,2025-07-28,9
2025-09-01,STR001,SKU0003,LAG_4W,2025-08-04,7
2025-09-08,STR001,SKU0003,LAG_4W,2025-08-11,7
2025-09-15,STR001,SKU0003,LAG_4W,2025-08-18,7
2025-09-22,STR001,SKU0003,LAG_4W,2025-08-25,7
2025-09-29,STR001,SKU0003,LAG_4W,2025-09-01,8
2025-10-06,STR001,SKU0003,LAG_4W,2025-09-08,8
