week_start,store_id,product_id,opening_stock_units,receipts_units,closing_stock_units,in_stock_days,ranged_flag
2025-04-07,STR001,SKU0001,15,4,13,7,True
2025-04-14,STR001,SKU0001,13,5,13,7,True
2025-04-21,STR001,SKU0001,13,4,13,7,True
2025-04-28,STR001,SKU0001,13,4,10,7,True
2025-05-05,STR001,SKU0001,10,5,11,7,True
2025-05-12,STR001,SKU0001,11,5,13,7,True
2025-05-19,STR001,SKU0001,13,4,13,7,True
2025-05-26,STR001,SKU0001,13,4,17,7,True
2025-06-02,STR001,SKU0001,17,4,16,7,True
2025-06-09,STR001,SKU0001,16,5,18,7,True
2025-06-16,STR001,SKU0001,18,4,19,7,True
2025-06-23,STR001,SKU0001,19,4,19,7,True
2025-06-30,STR001,SKU0001,19,4,19,7,True
2025-07-07,STR001,SKU0001,19,3,17,7,True
2025-07-14,STR001,SKU0001,17,4,18,7,True
2025-07-21,STR001,SKU0001,18,3,19,7,True
2025-07-28,STR001,SKU0001,19,4,20,7,True
2025-08-04,STR001,SKU0001,20,5,23,7,True
2025-08-11,STR001,SKU0001,23,4,24,7,True
2025-08-18,STR001,SKU0001,24,4,25,7,True
2025-08-25,STR001,SKU0001,25,4,21,7,True
2025-09-01,STR001,SKU0001,21,5,19,7,True
2025-09-08,STR001,SKU0001,19,5,18,7,True
2025-09-15,STR001,SKU0001,18,4,18,7,True
2025-09-22,STR001,SKU0001,18,4,17,7,True
2025-09-29,STR001,SKU0001,17,3,14,7,True
2025-10-06,STR001,SKU0001,14,4,14,7,True
2025-10-13,STR001,SKU0001,14,3,14,7,True
2025-10-20,STR001,SKU0001,14,5,14,7,True
2025-10-27,STR001,SKU0001,14,5,16,7,True
2025-11-03,STR001,SKU0001,16,4,14,7,True
2025-11-10,STR001,SKU0001,14,4,12,7,True
2025-11-17,STR001,SKU0001,12,5,14,7,True
2025-11-24,STR001,SKU0001,14,4,13,7,True
2025-12-01,STR001,SKU0001,13,5,17,7,True
2025-12-08,STR001,SKU0001,17,7,20,7,True
2025-12-15,STR001,SKU0001,20,6,19,7,True
2025-12-22,STR001,SKU0001,19,4,20,7,True
2025-12-29,STR001,SKU0001,20,5,23,7,True
2026-01-05,STR001,SKU0001,23,5,22,7,True
2026-01-12,STR001,SKU0001,22,6,22,7,True
2026-01-19,STR001,SKU0001,22,7,27,7,True
2026-01-26,STR001,SKU0001,27,6,28,7,True
2026-02-02,STR001,SKU0001,28,5,24,7,True
2026-02-09,STR001,SKU0001,24,6,25,7,True
2026-02-16,STR001,SKU0001,25,4,23,7,True
2026-02-23,STR001,SKU0001,23,5,23,7,True
2026-03-02,STR001,SKU0001,23,5,24,7,True
2026-03-09,STR001,SKU0001,24,5,24,7,True
2026-03-16,STR001,SKU0001,24,5,28,7,True
2026-03-23,STR001,SKU0001,28,5,28,7,True
2026-03-30,STR001,SKU0001,28,4,28,7,True
2026-04-06,STR001,SKU0001,28,5,29,7,True
2026-04-13,STR001,SKU0001,29,4,30,7,True
2026-04-20,STR001,SKU0001,30,4,34,7,True
2026-04-27,STR001,SKU0001,34,4,34,7,True
2026-05-04,STR001,SKU0001,34,4,34,7,True
2026-05-11,STR001,SKU0001,34,5,32,7,True
2026-05-18,STR001,SKU0001,32,5,34,7,True
2026-05-25,STR001,SKU0001,34,5,36,7,True
2026-06-01,STR001,SKU0001,36,3,35,7,True
2026-06-08,STR001,SKU0001,35,5,36,7,True
