delivery_event_id,po_line_id,purchase_order_id,supplier_id,product_id,destination_store_id,order_date,expected_delivery_date,actual_delivery_date,ordered_units,received_units,line_status
DEV0000001,POL000001,PO00001,SUP012,SKU0002,STR008,2025-02-14,2025-02-24,2025-02-21,112,68,Complete
DEV0000002,POL000001,PO00001,SUP012,SKU0002,STR008,2025-02-14,2025-02-24,2025-02-22,112,44,Complete
DEV0000003,POL000002,PO00001,SUP006,SKU0005,STR015,2025-02-14,2025-02-24,2025-02-22,59,59,Complete
DEV0000004,POL000003,PO00001,SUP005,SKU0008,STR022,2025-02-14,2025-02-24,2025-02-22,97,97,Complete
DEV0000005,POL000004,PO00001,SUP011,SKU0011,STR005,2025-02-14,2025-02-24,2025-02-22,36,36,Complete
DEV0000006,POL000005,PO00001,SUP005,SKU0014,STR012,2025-02-14,2025-02-24,2025-02-21,95,48,Complete
DEV0000007,POL000005,PO00001,SUP005,SKU0014,STR012,2025-02-14,2025-02-24,2025-02-22,95,47,Complete
DEV0000008,POL000006,PO00002,SUP004,SKU0017,STR019,2025-02-14,2025-02-24,2025-02-22,93,93,Complete
DEV0000009,POL000007,PO00002,SUP010,SKU0020,STR002,2025-02-14,2025-02-24,2025-02-24,52,52,Complete
DEV0000010,POL000008,PO00002,SUP009,SKU0023,STR009,2025-02-14,2025-02-24,2025-02-28,50,50,Complete
DEV0000011,POL000009,PO00002,SUP003,SKU0026,STR016,2025-02-14,2025-02-24,2025-02-21,111,73,Complete
DEV0000012,POL000009,PO00002,SUP003,SKU0026,STR016,2025-02-14,2025-02-24,2025-02-22,111,38,Complete
DEV0000013,POL000010,PO00002,SUP002,SKU0029,STR023,2025-02-14,2025-02-24,2025-02-24,102,102,Complete
DEV0000014,POL000011,PO00003,SUP008,SKU0032,STR006,2025-02-14,2025-02-24,2025-02-22,43,43,Complete
DEV0000015,POL000012,PO00003,SUP002,SKU0035,STR013,2025-02-14,2025-02-24,2025-02-23,103,103,Complete
DEV0000016,POL000013,PO00003,SUP001,SKU0038,STR020,2025-02-14,2025-02-24,2025-02-22,95,95,Complete
DEV0000017,POL000014,PO00003,SUP007,SKU0041,STR003,2025-02-14,2025-02-24,2025-02-23,37,37,Complete
DEV0000018,POL000015,PO00003,SUP006,SKU0044,STR010,2025-02-14,2025-02-24,2025-02-23,35,35,Complete
DEV0000019,POL000016,PO00004,SUP012,SKU0047,STR017,2025-02-14,2025-02-24,2025-02-22,29,29,Complete
DEV0000020,POL000017,PO00004,SUP011,SKU0050,STR024,2025-02-14,2025-02-24,2025-02-23,33,33,Complete
DEV0000021,POL000018,PO00004,SUP005,SKU0053,STR007,2025-02-14,2025-02-24,2025-02-24,132,132,Complete
DEV0000022,POL000019,PO00004,SUP011,SKU0056,STR014,2025-02-14,2025-02-24,2025-02-22,116,116,Complete
DEV0000023,POL000020,PO00004,SUP010,SKU0059,STR021,2025-02-14,2025-02-24,2025-02-23,30,30,Complete
DEV0000024,POL000021,PO00005,SUP004,SKU0062,STR004,2025-02-14,2025-02-24,2025-02-24,30,30,Complete
DEV0000025,POL000022,PO00005,SUP003,SKU0065,STR011,2025-02-14,2025-02-24,2025-02-22,77,52,Complete
DEV0000026,POL000022,PO00005,SUP003,SKU0065,STR011,2025-02-14,2025-02-24,2025-02-23,77,25,Complete
DEV0000027,POL000023,PO00005,SUP009,SKU0068,STR018,2025-02-14,2025-02-24,2025-02-23,34,34,Complete
DEV0000028,POL000024,PO00005,SUP008,SKU0071,STR001,2025-02-14,2025-02-24,2025-02-24,27,27,Complete
DEV0000029,POL000025,PO00005,SUP002,SKU0074,STR008,2025-02-14,2025-02-24,2025-02-23,128,128,Complete
DEV0000030,POL000026,PO00006,SUP008,SKU0077,STR015,2025-02-14,2025-02-24,2025-02-22,46,46,Complete
DEV0000031,POL000027,PO00006,SUP007,SKU0080,STR022,2025-02-14,2025-02-24,2025-02-24,53,53,Complete
DEV0000032,POL000028,PO00006,SUP001,SKU0083,STR005,2025-02-14,2025-02-24,2025-02-23,29,29,Complete
DEV0000033,POL000029,PO00006,SUP012,SKU0086,STR012,2025-02-14,2025-02-24,2025-02-24,135,135,Complete
DEV0000034,POL000030,PO00006,SUP006,SKU0089,STR019,2025-02-14,2025-02-24,2025-03-01,43,43,Complete
DEV0000035,POL000031,PO00007,SUP005,SKU0092,STR002,2025-02-14,2025-02-24,2025-02-23,35,35,Complete
DEV0000036,POL000032,PO00007,SUP011,SKU0095,STR009,2025-02-14,2025-02-24,2025-02-24,29,29,Complete
DEV0000037,POL000033,PO00007,SUP006,SKU0001,STR016,2025-02-21,2025-03-03,2025-03-02,47,47,Complete
DEV0000038,POL000034,PO00007,SUP012,SKU0004,STR023,2025-02-21,2025-03-03,2025-03-01,112,51,Complete
DEV0000039,POL000034,PO00007,SUP012,SKU0004,STR023,2025-02-21,2025-03-03,2025-03-02,112,61,Complete
DEV0000040,POL000035,PO00007,SUP006,SKU0007,STR006,2025-02-21,2025-03-03,2025-03-03,54,54,Complete
DEV0000041,POL000036,PO00008,SUP005,SKU0010,STR013,2025-02-21,2025-03-03,2025-03-03,50,38,Partially Received
DEV0000042,POL000037,PO00008,SUP011,SKU0013,STR020,2025-02-21,2025-03-03,2025-03-01,67,67,Complete
DEV0000043,POL000038,PO00008,SUP010,SKU0016,STR003,2025-02-21,2025-03-03,2025-03-03,75,70,Partially Received
DEV0000044,POL000039,PO00008,SUP004,SKU0019,STR010,2025-02-21,2025-03-03,2025-03-01,136,136,Complete
DEV0000045,POL000040,PO00008,SUP003,SKU0022,STR017,2025-02-21,2025-03-03,2025-03-03,38,38,Complete
DEV0000046,POL000041,PO00009,SUP009,SKU0025,STR024,2025-02-21,2025-03-03,2025-03-03,102,102,Complete
DEV0000047,POL000042,PO00009,SUP003,SKU0028,STR007,2025-02-21,2025-03-03,2025-03-02,96,96,Complete
DEV0000048,POL000043,PO00009,SUP002,SKU0031,STR014,2025-02-21,2025-03-03,2025-03-01,120,120,Complete
DEV0000049,POL000044,PO00009,SUP008,SKU0034,STR021,2025-02-21,2025-03-03,2025-03-02,85,85,Complete
DEV0000050,POL000045,PO00009,SUP007,SKU0037,STR004,2025-02-21,2025-03-03,2025-03-03,31,31,Complete
DEV0000051,POL000046,PO00010,SUP001,SKU0040,STR011,2025-02-21,2025-03-03,2025-03-03,78,78,Complete
DEV0000052,POL000047,PO00010,SUP012,SKU0043,STR018,2025-02-21,2025-03-03,2025-03-02,134,134,Complete
DEV0000053,POL000048,PO00010,SUP006,SKU0046,STR001,2025-02-21,2025-03-03,2025-02-28,129,84,Complete
DEV0000054,POL000048,PO00010,SUP006,SKU0046,STR001,2025-02-21,2025-03-03,2025-03-01,129,45,Complete
DEV0000055,POL000049,PO00010,SUP012,SKU0049,STR008,2025-02-21,2025-03-03,2025-03-02,140,85,Complete
DEV0000056,POL000049,PO00010,SUP012,SKU0049,STR008,2025-02-21,2025-03-03,2025-03-03,140,55,Complete
DEV0000057,POL000050,PO00010,SUP011,SKU0052,STR015,2025-02-21,2025-03-03,2025-03-03,121,121,Complete
DEV0000058,POL000051,PO00011,SUP005,SKU0055,STR022,2025-02-21,2025-03-03,2025-03-02,44,44,Complete
DEV0000059,POL000052,PO00011,SUP004,SKU0058,STR005,2025-02-21,2025-03-03,2025-03-02,35,35,Complete
DEV0000060,POL000053,PO00011,SUP010,SKU0061,STR012,2025-02-21,2025-03-03,2025-03-01,95,95,Complete
DEV0000061,POL000054,PO00011,SUP009,SKU0064,STR019,2025-02-21,2025-03-03,2025-03-03,59,59,Complete
DEV0000062,POL000055,PO00011,SUP003,SKU0067,STR002,2025-02-21,2025-03-03,2025-03-01,78,78,Complete
DEV0000063,POL000056,PO00012,SUP009,SKU0070,STR009,2025-02-21,2025-03-03,2025-03-02,33,33,Complete
DEV0000064,POL000057,PO00012,SUP008,SKU0073,STR016,2025-02-21,2025-03-03,2025-03-03,51,51,Complete
DEV0000065,POL000058,PO00012,SUP002,SKU0076,STR023,2025-02-21,2025-03-03,2025-03-01,58,43,Complete
DEV0000066,POL000058,PO00012,SUP002,SKU0076,STR023,2025-02-21,2025-03-03,2025-03-02,58,15,Complete
DEV0000067,POL000059,PO00012,SUP001,SKU0079,STR006,2025-02-21,2025-03-03,2025-03-03,137,137,Complete
DEV0000068,POL000060,PO00012,SUP007,SKU0082,STR013,2025-02-21,2025-03-03,2025-03-02,77,77,Complete
DEV0000069,POL000061,PO00013,SUP006,SKU0085,STR020,2025-02-21,2025-03-03,2025-03-04,33,33,Complete
DEV0000070,POL000062,PO00013,SUP012,SKU0088,STR003,2025-02-21,2025-03-03,2025-03-04,75,75,Complete
DEV0000071,POL000063,PO00013,SUP006,SKU0091,STR010,2025-02-21,2025-03-03,2025-03-03,55,55,Complete
DEV0000072,POL000064,PO00013,SUP005,SKU0094,STR017,2025-02-21,2025-03-03,2025-03-02,35,35,Complete
DEV0000073,POL000065,PO00013,SUP006,SKU0003,STR024,2025-02-28,2025-03-10,2025-03-10,124,124,Complete
