week_start,store_id,product_id,promotion_id,units_sold,gross_sales,discount_value,net_sales,cost_of_goods,returns_units
2025-04-07,STR001,SKU0001,,6,175.80,0.00,175.80,115.02,0
2025-04-14,STR001,SKU0001,,5,146.50,0.00,146.50,95.85,0
2025-04-21,STR001,SKU0001,,4,117.20,0.00,117.20,76.68,0
2025-04-28,STR001,SKU0001,,7,205.10,0.00,205.10,134.19,0
2025-05-05,STR001,SKU0001,,4,117.20,0.00,117.20,76.68,0
2025-05-12,STR001,SKU0001,,3,87.90,0.00,87.90,57.51,0
2025-05-19,STR001,SKU0001,,4,117.20,0.00,117.20,76.68,0
2025-05-26,STR001,SKU0001,,0,0.00,0.00,0.00,0.00,0
2025-06-02,STR001,SKU0001,,5,146.50,0.00,146.50,95.85,0
2025-06-09,STR001,SKU0001,,3,87.90,0.00,87.90,57.51,0
2025-06-16,STR001,SKU0001,,3,87.90,0.00,87.90,57.51,0
2025-06-23,STR001,SKU0001,,4,117.20,0.00,117.20,76.68,0
2025-06-30,STR001,SKU0001,,4,117.20,0.00,117.20,76.68,0
2025-07-07,STR001,SKU0001,,5,146.50,0.00,146.50,95.85,0
2025-07-14,STR001,SKU0001,,3,87.90,0.00,87.90,57.51,0
2025-07-21,STR001,SKU0001,,2,58.60,0.00,58.60,38.34,0
2025-07-28,STR001,SKU0001,,3,87.90,0.00,87.90,57.51,0
2025-08-04,STR001,SKU0001,,2,58.60,0.00,58.60,38.34,0
2025-08-11,STR001,SKU0001,,3,87.90,0.00,87.90,57.51,0
2025-08-18,STR001,SKU0001,,3,87.90,0.00,87.90,57.51,0
2025-08-25,STR001,SKU0001,,8,234.40,0.00,234.40,153.36,0
2025-09-01,STR001,SKU0001,,7,205.10,0.00,205.10,134.19,0
2025-09-08,STR001,SKU0001,,6,175.80,0.00,175.80,115.02,0
2025-09-15,STR001,SKU0001,,4,117.20,0.00,117.20,76.68,0
2025-09-22,STR001,SKU0001,,5,146.50,0.00,146.50,95.85,0
2025-09-29,STR001,SKU0001,,6,175.80,0.00,175.80,115.02,0
2025-10-06,STR001,SKU0001,,4,117.20,0.00,117.20,76.68,0
2025-10-13,STR001,SKU0001,,3,87.90,0.00,87.90,57.51,0
2025-10-20,STR001,SKU0001,,5,146.50,0.00,146.50,95.85,0
2025-10-27,STR001,SKU0001,,3,87.90,0.00,87.90,57.51,0
2025-11-03,STR001,SKU0001,,6,175.80,0.00,175.80,115.02,0
2025-11-10,STR001,SKU0001,,6,175.80,0.00,175.80,115.02,0
2025-11-17,STR001,SKU0001,,3,87.90,0.00,87.90,57.51,0
2025-11-24,STR001,SKU0001,,5,146.50,0.00,146.50,95.85,0
2025-12-01,STR001,SKU0001,,1,29.30,0.00,29.30,19.17,0
2025-12-08,STR001,SKU0001,,4,117.20,0.00,117.20,76.68,0
2025-12-15,STR001,SKU0001,,7,205.10,0.00,205.10,134.19,0
2025-12-22,STR001,SKU0001,,3,87.90,0.00,87.90,57.51,0
2025-12-29,STR001,SKU0001,,2,58.60,0.00,58.60,38.34,0
2026-01-05,STR001,SKU0001,,6,175.80,0.00,175.80,115.02,0
2026-01-12,STR001,SKU0001,,6,175.80,0.00,175.80,115.02,0
2026-01-19,STR001,SKU0001,,2,58.60,0.00,58.60,38.34,0
2026-01-26,STR001,SKU0001,,5,146.50,0.00,146.50,95.85,0
2026-02-02,STR001,SKU0001,,9,263.70,0.00,263.70,172.53,0
2026-02-09,STR001,SKU0001,,5,146.50,0.00,146.50,95.85,0
2026-02-16,STR001,SKU0001,,6,175.80,0.00,175.80,115.02,0
2026-02-23,STR001,SKU0001,,5,146.50,0.00,146.50,95.85,0
2026-03-02,STR001,SKU0001,,4,117.20,0.00,117.20,76.68,0
2026-03-09,STR001,SKU0001,,5,146.50,0.00,146.50,95.85,0
2026-03-16,STR001,SKU0001,,1,29.30,0.00,29.30,19.17,0
2026-03-23,STR001,SKU0001,,5,146.50,0.00,146.50,95.85,0
2026-03-30,STR001,SKU0001,,4,117.20,0.00,117.20,76.68,0
2026-04-06,STR001,SKU0001,,4,117.20,0.00,117.20,76.68,0
2026-04-13,STR001,SKU0001,,3,87.90,0.00,87.90,57.51,0
2026-04-20,STR001,SKU0001,,0,0.00,0.00,0.00,0.00,0
2026-04-27,STR001,SKU0001,,4,117.20,0.00,117.20,76.68,0
2026-05-04,STR001,SKU0001,,4,117.20,0.00,117.20,76.68,0
2026-05-11,STR001,SKU0001,,7,205.10,0.00,205.10,134.19,0
2026-05-18,STR001,SKU0001,,3,87.90,0.00,87.90,57.51,0
2026-05-25,STR001,SKU0001,,3,87.90,0.00,87.90,57.51,0
2026-06-01,STR001,SKU0001,,4,117.20,0.00,117.20,76.68,0
2026-06-08,STR001,SKU0001,,4,117.20,0.00,117.20,76.68,0
2026-06-15,STR001,SKU0001,,5,146.50,0.00,146.50,95.85,0
2026-06-22,STR001,SKU0001,,2,58.60,0.00,58.60,38.34,0
2026-06-29,STR001,SKU0001,,3,87.90,0.00,87.90,57.51,0
2026-07-06,STR001,SKU0001,,2,58.60,0.00,58.60,38.34,0
2026-07-13,STR001,SKU0001,,0,0.00,0.00,0.00,0.00,0
2026-07-20,STR001,SKU0001,,3,87.90,0.00,87.90,57.51,0
2026-07-27,STR001,SKU0001,,2,58.60,0.00,58.60,38.34,0
2026-08-03,STR001,SKU0001,,2,58.60,0.00,58.60,38.34,0
2025-02-24,STR001,SKU0003,,5,220.75,0.00,220.75,100.40,0
2025-03-03,STR001,SKU0003,,11,485.65,0.00,485.65,220.88,0
2025-03-10,STR001,SKU0003,,10,441.50,0.00,441.50,200.80,0
2025-03-17,STR001,SKU0003,,10,441.50,0.00,441.50,200.80,0
2025-03-24,STR001,SKU0003,,16,706.40,0.00,706.40,321.28,0
2025-03-31,STR001,SKU0003,,10,441.50,0.00,441.50,200.80,0
2025-04-07,STR001,SKU0003,,7,309.05,0.00,309.05,140.56,0
2025-04-14,STR001,SKU0003,,18,794.70,0.00,794.70,361.44,0
2025-04-21,STR001,SKU0003,,5,220.75,0.00,220.75,100.40,0
2025-04-28,STR001,SKU0003,,9,397.35,0.00,397.35,180.72,0
2025-05-05,STR001,SKU0003,,10,441.50,0.00,441.50,200.80,0
2025-05-12,STR001,SKU0003,,13,573.95,0.00,573.95,261.04,0
2025-05-19,STR001,SKU0003,,11,485.65,0.00,485.65,220.88,0
2025-05-26,STR001,SKU0003,,11,485.65,0.00,485.65,220.88,0
2025-06-02,STR001,SKU0003,,11,485.65,0.00,485.65,220.88,0
2025-06-09,STR001,SKU0003,,13,573.95,0.00,573.95,261.04,0
2025-06-16,STR001,SKU0003,,12,529.80,0.00,529.80,240.96,0
2025-06-23,STR001,SKU0003,,13,573.95,0.00,573.95,261.04,0
2025-06-30,STR001,SKU0003,,5,220.75,0.00,220.75,100.40,0
2025-07-07,STR001,SKU0003,,15,662.25,0.00,662.25,301.20,0
2025-07-14,STR001,SKU0003,,16,706.40,0.00,706.40,321.28,0
2025-07-21,STR001,SKU0003,,11,485.65,0.00,485.65,220.88,0
2025-07-28,STR001,SKU0003,,14,618.10,0.00,618.10,281.12,0
2025-08-04,STR001,SKU0003,,5,220.75,0.00,220.75,100.40,0
2025-08-11,STR001,SKU0003,,9,397.35,0.00,397.35,180.72,0
2025-08-18,STR001,SKU0003,,12,529.80,0.00,529.80,240.96,0
2025-08-25,STR001,SKU0003,,14,618.10,0.00,618.10,281.12,0
2025-09-01,STR001,SKU0003,,9,397.35,0.00,397.35,180.72,0
2025-09-08,STR001,SKU0003,,8,353.20,0.00,353.20,160.64,0
2025-09-15,STR001,SKU0003,,8,353.20,0.00,353.20,160.64,0
2025-09-22,STR001,SKU0003,,12,529.80,0.00,529.80,240.96,0
2025-09-29,STR001,SKU0003,,10,441.50,0.00,441.50,200.80,0
2025-10-06,STR001,SKU0003,,12,529.80,0.00,529.80,240.96,0
2025-10-13,STR001,SKU0003,,7,309.05,0.00,309.05,140.56,0
2025-10-20,STR001,SKU0003,,11,485.65,0.00,485.65,220.88,0
2025-10-27,STR001,SKU0003,,10,441.50,0.00,441.50,200.80,0
2025-11-03,STR001,SKU0003,,11,485.65,0.00,485.65,220.88,0
